,fighter,salary,year,Unnamed: 0,first_name,last_name,height,weight,stance,wins,losses,draws,number_of_fights,full_name,gender,current_or_former_champ
0,Michael Bisping,"$915,000 ",2010,114,Michael,Bisping,"6' 1""",185,Orthodox,30,9,0,39,Michael Bisping,m,t
1,Michael Bisping,"$810,000 ",2011,114,Michael,Bisping,"6' 1""",185,Orthodox,30,9,0,39,Michael Bisping,m,t
2,Michael Bisping,"$700,000 ",2012,114,Michael,Bisping,"6' 1""",185,Orthodox,30,9,0,39,Michael Bisping,m,t
3,Michael Bisping,"$700,000 ",2013,114,Michael,Bisping,"6' 1""",185,Orthodox,30,9,0,39,Michael Bisping,m,t
4,Michael Bisping,"$975,000 ",2014,114,Michael,Bisping,"6' 1""",185,Orthodox,30,9,0,39,Michael Bisping,m,t
5,Michael Bisping,"$870,000 ",2015,114,Michael,Bisping,"6' 1""",185,Orthodox,30,9,0,39,Michael Bisping,m,t
6,Michael Bisping,"$990,000 ",2016,114,Michael,Bisping,"6' 1""",185,Orthodox,30,9,0,39,Michael Bisping,m,t
7,Michael Bisping,"$810,000 ",2017,114,Michael,Bisping,"6' 1""",185,Orthodox,30,9,0,39,Michael Bisping,m,t
8,Georges St-Pierre,"$900,000 ",2010,319,Georges,St-Pierre,"5' 11""",185,Orthodox,26,2,0,28,Georges St-Pierre,m,t
9,Georges St-Pierre,"$400,000 ",2011,319,Georges,St-Pierre,"5' 11""",185,Orthodox,26,2,0,28,Georges St-Pierre,m,t
10,Georges St-Pierre,"$470,000 ",2012,319,Georges,St-Pierre,"5' 11""",185,Orthodox,26,2,0,28,Georges St-Pierre,m,t
11,Georges St-Pierre,"$470,000 ",2013,319,Georges,St-Pierre,"5' 11""",185,Orthodox,26,2,0,28,Georges St-Pierre,m,t
12,Georges St-Pierre,"$2,580,000 ",2017,319,Georges,St-Pierre,"5' 11""",185,Orthodox,26,2,0,28,Georges St-Pierre,m,t
13,Brock Lesnar,"$875,000 ",2010,87,Brock,Lesnar,"6' 3""",265,Orthodox,5,3,0,8,Brock Lesnar,m,t
14,Brock Lesnar,"$400,000 ",2011,87,Brock,Lesnar,"6' 3""",265,Orthodox,5,3,0,8,Brock Lesnar,m,t
15,Brock Lesnar,"$2,255,000 ",2016,87,Brock,Lesnar,"6' 3""",265,Orthodox,5,3,0,8,Brock Lesnar,m,t
16,Rashad Evans,"$785,000 ",2010,73,Rashad,Evans,"6' 0""",205,Orthodox,19,8,1,28,Rashad Evans,m,t
17,Rashad Evans,"$515,000 ",2011,73,Rashad,Evans,"6' 0""",205,Orthodox,19,8,1,28,Rashad Evans,m,t
18,Rashad Evans,"$775,000 ",2012,73,Rashad,Evans,"6' 0""",205,Orthodox,19,8,1,28,Rashad Evans,m,t
19,Rashad Evans,"$775,000 ",2013,73,Rashad,Evans,"6' 0""",205,Orthodox,19,8,1,28,Rashad Evans,m,t
20,Rashad Evans,"$140,000 ",2015,73,Rashad,Evans,"6' 0""",205,Orthodox,19,8,1,28,Rashad Evans,m,t
21,Rashad Evans,"$165,000 ",2016,73,Rashad,Evans,"6' 0""",205,Orthodox,19,8,1,28,Rashad Evans,m,t
22,Rashad Evans,"$340,000 ",2017,73,Rashad,Evans,"6' 0""",205,Orthodox,19,8,1,28,Rashad Evans,m,t
23,Rashad Evans,"$170,000 ",2018,73,Rashad,Evans,"6' 0""",205,Orthodox,19,8,1,28,Rashad Evans,m,t
24,B.J. Penn,"$680,000 ",2010,74,BJ,Penn,"5' 9""",155,Orthodox,16,14,2,32,B.J. Penn,m,t
25,B.J. Penn,"$375,000 ",2011,74,BJ,Penn,"5' 9""",155,Orthodox,16,14,2,32,B.J. Penn,m,t
26,B.J. Penn,"$150,000 ",2012,74,BJ,Penn,"5' 9""",155,Orthodox,16,14,2,32,B.J. Penn,m,t
27,B.J. Penn,"$150,000 ",2013,74,BJ,Penn,"5' 9""",155,Orthodox,16,14,2,32,B.J. Penn,m,t
28,B.J. Penn,"$150,000 ",2014,74,BJ,Penn,"5' 9""",155,Orthodox,16,14,2,32,B.J. Penn,m,t
29,B.J. Penn,"$340,000 ",2017,74,BJ,Penn,"5' 9""",155,Orthodox,16,14,2,32,B.J. Penn,m,t
30,B.J. Penn,"$170,000 ",2018,74,BJ,Penn,"5' 9""",155,Orthodox,16,14,2,32,B.J. Penn,m,t
31,B.J. Penn,"$170,000 ",2019,74,BJ,Penn,"5' 9""",155,Orthodox,16,14,2,32,B.J. Penn,m,t
32,Matt Hughes,"$560,000 ",2010,185,Matt,Hughes,"5' 9""",170,Switch,45,9,0,54,Matt Hughes,m,t
33,Matt Hughes,"$100,000 ",2011,185,Matt,Hughes,"5' 9""",170,Switch,45,9,0,54,Matt Hughes,m,t
34,Anderson Silva,"$520,000 ",2010,193,Anderson,Silva,"6' 2""",185,Southpaw,34,11,0,45,Anderson Silva,m,t
35,Anderson Silva,"$475,000 ",2011,193,Anderson,Silva,"6' 2""",185,Southpaw,34,11,0,45,Anderson Silva,m,t
36,Anderson Silva,"$475,000 ",2012,193,Anderson,Silva,"6' 2""",185,Southpaw,34,11,0,45,Anderson Silva,m,t
37,Anderson Silva,"$475,000 ",2013,193,Anderson,Silva,"6' 2""",185,Southpaw,34,11,0,45,Anderson Silva,m,t
38,Anderson Silva,"$420,000 ",2015,193,Anderson,Silva,"6' 2""",185,Southpaw,34,11,0,45,Anderson Silva,m,t
39,Anderson Silva,"$1,285,000 ",2016,193,Anderson,Silva,"6' 2""",185,Southpaw,34,11,0,45,Anderson Silva,m,t
40,Anderson Silva,"$820,000 ",2017,193,Anderson,Silva,"6' 2""",185,Southpaw,34,11,0,45,Anderson Silva,m,t
41,Anderson Silva,"$1,290,000 ",2019,193,Anderson,Silva,"6' 2""",185,Southpaw,34,11,0,45,Anderson Silva,m,t
42,Anderson Silva,"$620,000 ",2020,193,Anderson,Silva,"6' 2""",185,Southpaw,34,11,0,45,Anderson Silva,m,t
43,Chuck Liddell,"$500,000 ",2010,103,Chuck,Liddell,"6' 2""",205,Orthodox,21,8,0,29,Chuck Liddell,m,t
44,James Toney,"$500,000 ",2010,84,James,Toney,"5' 9""",220,Orthodox,0,1,0,1,James Toney,m,f
45,Rampage Jackson,"$500,000 ",2010,3,Quinton,Jackson,"6' 1""",205,Orthodox,37,12,0,49,Rampage Jackson,m,t
46,Rampage Jackson,"$575,000 ",2011,3,Quinton,Jackson,"6' 1""",205,Orthodox,37,12,0,49,Rampage Jackson,m,t
47,Randy Couture,"$500,000 ",2010,207,Randy,Couture,"6' 1""",205,Orthodox,19,11,0,30,Randy Couture,m,t
48,Randy Couture,"$250,000 ",2011,207,Randy,Couture,"6' 1""",205,Orthodox,19,11,0,30,Randy Couture,m,t
49,Mirko Cro Cop,"$460,000 ",2010,42,Mirko,Filipovic,"6' 2""",230,Southpaw,35,11,2,48,Mirko Cro Cop,m,f
50,Mirko Cro Cop,"$150,000 ",2011,42,Mirko,Filipovic,"6' 2""",230,Southpaw,35,11,2,48,Mirko Cro Cop,m,f
51,Cain Velasquez,"$410,000 ",2010,32,Cain,Velasquez,"6' 1""",240,Orthodox,14,3,0,17,Cain Velasquez,m,t
52,Cain Velasquez,"$100,000 ",2011,32,Cain,Velasquez,"6' 1""",240,Orthodox,14,3,0,17,Cain Velasquez,m,t
53,Cain Velasquez,"$400,000 ",2012,32,Cain,Velasquez,"6' 1""",240,Orthodox,14,3,0,17,Cain Velasquez,m,t
54,Cain Velasquez,"$400,000 ",2013,32,Cain,Velasquez,"6' 1""",240,Orthodox,14,3,0,17,Cain Velasquez,m,t
55,Cain Velasquez,"$400,000 ",2015,32,Cain,Velasquez,"6' 1""",240,Orthodox,14,3,0,17,Cain Velasquez,m,t
56,Cain Velasquez,"$360,000 ",2016,32,Cain,Velasquez,"6' 1""",240,Orthodox,14,3,0,17,Cain Velasquez,m,t
57,Cain Velasquez,"$460,000 ",2019,32,Cain,Velasquez,"6' 1""",240,Orthodox,14,3,0,17,Cain Velasquez,m,t
58,Lyoto Machida,"$400,000 ",2010,10,Lyoto,Machida,"6' 1""",185,Southpaw,24,8,0,32,Lyoto Machida,m,t
59,Lyoto Machida,"$604,000 ",2011,10,Lyoto,Machida,"6' 1""",185,Southpaw,24,8,0,32,Lyoto Machida,m,t
60,Lyoto Machida,"$200,000 ",2012,10,Lyoto,Machida,"6' 1""",185,Southpaw,24,8,0,32,Lyoto Machida,m,t
61,Lyoto Machida,"$200,000 ",2013,10,Lyoto,Machida,"6' 1""",185,Southpaw,24,8,0,32,Lyoto Machida,m,t
62,Lyoto Machida,"$750,000 ",2014,10,Lyoto,Machida,"6' 1""",185,Southpaw,24,8,0,32,Lyoto Machida,m,t
63,Lyoto Machida,"$400,000 ",2015,10,Lyoto,Machida,"6' 1""",185,Southpaw,24,8,0,32,Lyoto Machida,m,t
64,Lyoto Machida,"$220,000 ",2017,10,Lyoto,Machida,"6' 1""",185,Southpaw,24,8,0,32,Lyoto Machida,m,t
65,Lyoto Machida,"$490,000 ",2018,10,Lyoto,Machida,"6' 1""",185,Southpaw,24,8,0,32,Lyoto Machida,m,t
66,Frank Mir,"$375,000 ",2010,244,Frank,Mir,"6' 3""",264,Southpaw,18,11,0,29,Frank Mir,m,t
67,Frank Mir,"$645,000 ",2011,244,Frank,Mir,"6' 3""",264,Southpaw,18,11,0,29,Frank Mir,m,t
68,Frank Mir,"$200,000 ",2012,244,Frank,Mir,"6' 3""",264,Southpaw,18,11,0,29,Frank Mir,m,t
69,Frank Mir,"$200,000 ",2013,244,Frank,Mir,"6' 3""",264,Southpaw,18,11,0,29,Frank Mir,m,t
70,Frank Mir,"$200,000 ",2014,244,Frank,Mir,"6' 3""",264,Southpaw,18,11,0,29,Frank Mir,m,t
71,Frank Mir,"$740,000 ",2015,244,Frank,Mir,"6' 3""",264,Southpaw,18,11,0,29,Frank Mir,m,t
72,Frank Mir,"$220,000 ",2016,244,Frank,Mir,"6' 3""",264,Southpaw,18,11,0,29,Frank Mir,m,t
73,Mauricio Rua,"$320,000 ",2010,183,Mauricio,Rua,"6' 1""",205,Orthodox,27,12,1,40,Mauricio Rua,m,t
74,Mauricio Rua,"$625,000 ",2011,183,Mauricio,Rua,"6' 1""",205,Orthodox,27,12,1,40,Mauricio Rua,m,t
