,fighter,salary,year,Unnamed: 0,first_name,last_name,height,weight,stance,wins,losses,draws,number_of_fights,full_name,gender,current_or_former_champ,win_percentage,insta_followers
0,Georges St-Pierre,900000,2010,319,Georges,St-Pierre,"5' 11""",185,Orthodox,26,2,0,28,Georges St-Pierre,m,t,92.85714286,3486422
1,Georges St-Pierre,400000,2011,319,Georges,St-Pierre,"5' 11""",185,Orthodox,26,2,0,28,Georges St-Pierre,m,t,92.85714286,3486422
2,Georges St-Pierre,470000,2012,319,Georges,St-Pierre,"5' 11""",185,Orthodox,26,2,0,28,Georges St-Pierre,m,t,92.85714286,3486422
3,Georges St-Pierre,470000,2013,319,Georges,St-Pierre,"5' 11""",185,Orthodox,26,2,0,28,Georges St-Pierre,m,t,92.85714286,3486422
4,Georges St-Pierre,2580000,2017,319,Georges,St-Pierre,"5' 11""",185,Orthodox,26,2,0,28,Georges St-Pierre,m,t,92.85714286,3486422
5,Cain Velasquez,410000,2010,32,Cain,Velasquez,"6' 1""",240,Orthodox,14,3,0,17,Cain Velasquez,m,t,82.35294118,1138246
6,Cain Velasquez,100000,2011,32,Cain,Velasquez,"6' 1""",240,Orthodox,14,3,0,17,Cain Velasquez,m,t,82.35294118,1138246
7,Cain Velasquez,400000,2012,32,Cain,Velasquez,"6' 1""",240,Orthodox,14,3,0,17,Cain Velasquez,m,t,82.35294118,1138246
8,Cain Velasquez,400000,2013,32,Cain,Velasquez,"6' 1""",240,Orthodox,14,3,0,17,Cain Velasquez,m,t,82.35294118,1138246
9,Cain Velasquez,400000,2015,32,Cain,Velasquez,"6' 1""",240,Orthodox,14,3,0,17,Cain Velasquez,m,t,82.35294118,1138246
10,Cain Velasquez,360000,2016,32,Cain,Velasquez,"6' 1""",240,Orthodox,14,3,0,17,Cain Velasquez,m,t,82.35294118,1138246
11,Cain Velasquez,460000,2019,32,Cain,Velasquez,"6' 1""",240,Orthodox,14,3,0,17,Cain Velasquez,m,t,82.35294118,1138246
12,Lyoto Machida,400000,2010,10,Lyoto,Machida,"6' 1""",185,Southpaw,24,8,0,32,Lyoto Machida,m,t,75,1063716
13,Lyoto Machida,604000,2011,10,Lyoto,Machida,"6' 1""",185,Southpaw,24,8,0,32,Lyoto Machida,m,t,75,1063716
14,Lyoto Machida,200000,2012,10,Lyoto,Machida,"6' 1""",185,Southpaw,24,8,0,32,Lyoto Machida,m,t,75,1063716
15,Lyoto Machida,200000,2013,10,Lyoto,Machida,"6' 1""",185,Southpaw,24,8,0,32,Lyoto Machida,m,t,75,1063716
16,Lyoto Machida,750000,2014,10,Lyoto,Machida,"6' 1""",185,Southpaw,24,8,0,32,Lyoto Machida,m,t,75,1063716
17,Lyoto Machida,400000,2015,10,Lyoto,Machida,"6' 1""",185,Southpaw,24,8,0,32,Lyoto Machida,m,t,75,1063716
18,Lyoto Machida,220000,2017,10,Lyoto,Machida,"6' 1""",185,Southpaw,24,8,0,32,Lyoto Machida,m,t,75,1063716
19,Lyoto Machida,490000,2018,10,Lyoto,Machida,"6' 1""",185,Southpaw,24,8,0,32,Lyoto Machida,m,t,75,1063716
20,Junior dos Santos,260000,2010,131,Junior,Dos Santos,"6' 4""",238,Orthodox,21,9,0,30,Junior dos Santos,m,f,70,1006283
21,Junior dos Santos,485000,2011,131,Junior,Dos Santos,"6' 4""",238,Orthodox,21,9,0,30,Junior dos Santos,m,f,70,1006283
22,Junior dos Santos,600000,2012,131,Junior,Dos Santos,"6' 4""",238,Orthodox,21,9,0,30,Junior dos Santos,m,f,70,1006283
23,Junior dos Santos,600000,2013,131,Junior,Dos Santos,"6' 4""",238,Orthodox,21,9,0,30,Junior dos Santos,m,f,70,1006283
24,Junior dos Santos,310000,2014,131,Junior,Dos Santos,"6' 4""",238,Orthodox,21,9,0,30,Junior dos Santos,m,f,70,1006283
25,Junior dos Santos,410000,2015,131,Junior,Dos Santos,"6' 4""",238,Orthodox,21,9,0,30,Junior dos Santos,m,f,70,1006283
26,Junior dos Santos,410000,2016,131,Junior,Dos Santos,"6' 4""",238,Orthodox,21,9,0,30,Junior dos Santos,m,f,70,1006283
27,Junior dos Santos,430000,2017,131,Junior,Dos Santos,"6' 4""",238,Orthodox,21,9,0,30,Junior dos Santos,m,f,70,1006283
28,Junior dos Santos,830000,2018,131,Junior,Dos Santos,"6' 4""",238,Orthodox,21,9,0,30,Junior dos Santos,m,f,70,1006283
29,Junior dos Santos,880000,2019,131,Junior,Dos Santos,"6' 4""",238,Orthodox,21,9,0,30,Junior dos Santos,m,f,70,1006283
30,Junior dos Santos,1560000,2020,131,Junior,Dos Santos,"6' 4""",238,Orthodox,21,9,0,30,Junior dos Santos,m,f,70,1006283
31,Carlos Condit,257000,2010,164,Carlos,Condit,"6' 2""",170,Orthodox,32,14,0,46,Carlos Condit,m,t,69.56521739,445166
32,Carlos Condit,143000,2011,164,Carlos,Condit,"6' 2""",170,Orthodox,32,14,0,46,Carlos Condit,m,t,69.56521739,445166
33,Carlos Condit,237000,2012,164,Carlos,Condit,"6' 2""",170,Orthodox,32,14,0,46,Carlos Condit,m,t,69.56521739,445166
34,Carlos Condit,237000,2013,164,Carlos,Condit,"6' 2""",170,Orthodox,32,14,0,46,Carlos Condit,m,t,69.56521739,445166
