fighter,salary,year,Unnamed: 0,weight,wins,losses,draws,number_of_fights,win_percentage,insta_followers
Abu Azaitar,23500,2018,176,185,14,3,1,18,77.77777778,1854399
Alexa Grasso,241100,10090,800,625,65,15,0,80,406.25,2136980
Alexander Volkanovski,1224500,10090,370,725,115,5,0,120,479.1666667,1786030
Alexander Volkov,747500,10090,380,1250,170,45,0,215,395.3488372,1488750
Alistair Overeem,10078071,16130,520,2120,376,152,0,528,569.6969697,8963192
Aljamain Sterling,1020000,14119,2387,945,140,21,0,161,608.6956522,2283547
Amanda Ribas,118500,4039,128,250,22,4,0,26,169.2307692,1605022
Anthony Pettis,3529500,20155,1110,1550,240,100,0,340,705.8823529,15346580
Brian Ortega,1238500,12100,294,870,90,12,0,102,529.4117647,4756548
CM Punk,1006000,4034,374,340,0,2,0,2,0,1366342
Cain Velasquez,2530000,14096,224,1680,98,21,0,119,576.4705882,7967722
Carlos Condit,2108000,20146,1640,1700,320,140,0,460,695.6521739,4451660
Charles Oliveira,3233500,22165,297,1705,341,88,0,429,874.3589744,7500031
Chris Weidman,3946000,20155,520,1850,150,60,0,210,714.2857143,10146840
Claudia Gadelha,914500,14119,14,805,126,35,0,161,547.826087,6773263
Cody Garbrandt,1623600,12105,168,750,72,24,0,96,450,14905590
Colby Covington,1690000,14119,1477,1190,112,21,0,133,589.4736842,4752013
Conor McGregor,15532000,10083,790,775,110,30,0,140,392.8571429,215477900
Cub Swanson,2165000,20155,3950,1450,270,120,0,390,692.3076923,3692240
Dan Hooker,1295000,14119,1099,1085,147,77,0,224,459.375,2174480
Daniel Cormier,6090000,14119,1302,1645,154,21,0,175,616,20848688
Darren Till,867600,10089,375,925,90,20,5,115,391.3043478,6392180
Deiveson Figueiredo,1174500,8074,144,500,80,8,4,92,347.826087,1103388
Demetrious Johnson,3279000,16116,432,1000,216,24,8,248,696.7741935,8260128
Derrick Lewis,3351000,14119,679,1820,175,56,0,231,530.3030303,14998172
Dominick Cruz,1655000,8061,920,540,92,12,0,104,353.8461538,4706528
Dominick Reyes,1296500,8074,224,820,48,12,0,60,320,1235304
Donald Cerrone,6528400,20155,890,1700,360,160,0,520,692.3076923,22792570
Dustin Poirier,3021200,20155,1450,1550,280,60,0,340,823.5294118,36919220
Francis Ngannou,2117500,12105,330,1500,96,18,0,114,505.2631579,18703404
Frankie Edgar,4923000,22165,99,1485,253,110,11,374,744.1176471,8596258
Georges St-Pierre,4820000,10063,1595,925,130,10,0,140,464.2857143,17432110
Gilbert Burns,1164200,14119,1750,1190,140,28,0,168,583.3333333,3331104
Holly Holm,2370000,12105,852,810,84,30,0,114,442.1052632,13599138
Islam Makhachev,312500,10085,220,775,105,5,0,110,477.2727273,15864745
Israel Adesanya,2928500,6057,42,555,63,3,0,66,286.3636364,16262406
Jan Blachowicz,1593500,14119,826,1435,196,63,0,259,529.7297297,4964806
Jessica Andrade,1569000,14119,763,875,154,63,0,217,496.7741935,2377529
Jiri Prochazka,103500,2020,174,205,28,3,1,32,87.5,281061
Jorge Masvidal,2768000,12101,666,1020,210,90,0,300,420,18289770
Junior dos Santos,6775000,22165,1441,2618,231,99,0,330,770,11069113
Justin Gaethje,2424000,8074,16,620,92,12,0,104,353.8461538,5764352
Kamaru Usman,2210000,12105,102,1020,120,6,0,126,571.4285714,15807138
Kelvin Gastelum,1680400,14119,308,1295,119,56,0,175,476,3529855
Kevin Holland,714500,6057,411,555,63,21,0,84,225,1055310
Kevin Lee,1516300,14119,455,1190,126,49,0,175,504,2254966
Khabib Nurmagomedov,15219000,16129,776,1240,232,0,0,232,800,255378240
Khamzat Chimaev,294500,2020,109,170,10,0,0,10,100,2743422
Luke Rockhold,1935000,12099,744,1230,96,30,0,126,457.1428571,4911084
Lyoto Machida,3264000,16110,80,1480,192,64,0,256,600,8509728
Mackenzie Dern,473450,6057,240,345,33,6,0,39,253.8461538,2798892
Makhmud Muradov,101000,2019,350,185,25,7,0,32,78.125,1613453
Marlon Vera,1157000,14119,287,945,126,49,7,182,484.6153846,3585365
Marvin Vettori,548000,12109,288,1230,108,30,6,144,450,2034054
Max Holloway,4006000,18144,1251,1305,207,54,0,261,713.7931034,23740902
Maycee Barber,137500,6057,72,375,27,6,0,33,245.4545455,820413
Michelle Waterson,696500,10089,185,575,90,45,0,135,333.3333333,8521955
Miesha Tate,1055000,6045,84,405,57,24,0,81,211.1111111,6356850
Nate Diaz,4548000,16110,776,1360,168,104,0,272,494.1176471,41295376
Ottman Azaitar,151000,4039,354,310,26,0,0,26,200,1709454
Paige VanZant,477500,12102,114,690,48,30,0,78,369.2307692,17938554
Paulo Costa,847500,8074,796,820,52,8,0,60,346.6666667,4534468
Petr Yan,871500,6057,39,405,48,6,0,54,266.6666667,3150693
Polyana Viana,115000,6057,153,345,36,12,0,48,225,1580226
Rachael Ostovich,72500,8074,232,500,16,24,0,40,160,2980840
Rafael dos Anjos,3441000,22165,1430,1705,330,143,0,473,767.4418605,6529413
Robert Whittaker,2907000,18144,648,1665,216,45,0,261,744.8275862,9303543
Rodolfo Vieira,55000,4039,114,370,16,2,0,18,177.7777778,656104
Ronda Rousey,3935000,6045,525,405,36,6,0,42,257.1428571,41528682
Rory MacDonald,929000,14091,28,1190,133,28,0,161,578.2608696,2351454
Rose Namajunas,1340500,14119,119,805,84,28,0,112,525,16008776
Shayna Baszler,16000,4029,108,270,30,22,0,52,115.3846154,847892
Stephen Thompson,2299400,18144,612,1530,144,45,9,198,654.5454545,6234327
Stipe Miocic,5385000,20155,2430,2400,200,40,0,240,833.3333333,16330040
T.J. Dillashaw,2134000,18135,945,1215,162,36,0,198,736.3636364,12907395
Thiago Santos,1875600,14119,518,1435,154,63,0,217,496.7741935,3729082
Tony Ferguson,2804000,20155,230,1550,260,60,0,320,812.5,24765300
Tyron Woodley,4146000,14119,777,1190,133,49,7,189,492.5925926,14622664
Uriah Hall,805000,14119,70,1295,126,70,0,196,450,2208934
Valentina Shevchenko,1689000,12105,1008,750,132,18,0,150,528,13224894
Vitor Belfort,4363000,14102,497,1295,182,98,0,280,455,9076809
Yoel Romero,2287000,14119,1071,1295,91,35,0,126,505.5555556,8176700
Zabit Magomedsharipov,555500,6054,99,435,54,3,0,57,284.2105263,7589037
Zubaira Tukhugov,150400,10084,615,725,100,25,5,130,384.6153846,16869090
