fighter,insta_followers
Conor McGregor,43095580
Khabib Nurmagomedov,31922280
Ronda Rousey,13842894
Jon Bones Jones,5863412
Israel Adesanya,5420802
Nate Diaz,5161922
Anderson The Spider Silva,3801605
Dustin Poirier,3691922
Georges St-Pierre,3486422
Zubaira Tukhugov,3373818
Islam Makhachev,3172949
Francis Ngannou,3117234
Jorge Masvidal,3048295
Paige VanZant,2989759
Daniel Cormier,2978384
Khamzat Chimaev,2743422
Max Holloway,2637878
Kamaru Usman,2634523
José Aldo,2603584
Zabit Magomedsharipov,2529679
Cody Garbrandt,2484265
Tony Ferguson,2476530
Rose Namajunas,2286968
Donald Cerrone,2279257
Holly Holm,2266523
Valentina Shevchenko,2204149
Derrick Lewis,2142596
Miesha Tate,2118950
Tyron Woodley,2088952
Joanna J?drzejczyk,1930431
Sean O'Malley,1922121
Abu Azaitar,1854399
Michelle Waterson,1704391
Stipe Miocic,1633004
Shinsuke Nakamura,1622706
Makhmud Muradov,1613453
Anthony Pettis,1534658
Justin Gaethje,1441088
T.J. Dillashaw,1434155
Vitor Belfort,1296687
Darren Till,1278436
Cris Cyborg,1210299
Dominick Cruz,1176632
Yoel Romero,1168100
Fabrício Werdum,1153136
Cain Velasquez,1138246
Paulo Costa,1133617
Alistair Overeem,1120399
Lyoto Machida,1063716
Petr Yan,1050231
Robert Whittaker,1033727
Demetrious Johnson,1032516
Chris Weidman,1014684
Junior dos Santos,1006283
Umar Nurmagomedov,989195
Claudia Gadelha,967609
Mackenzie Dern,932964
Michael Chandler,867965
Ottman Azaitar,854727
Luke Rockhold,818514
Amanda Ribas,802511
Bobby Lashley,802325
Brian Ortega,792758
Frankie Edgar,781478
Rachael Ostovich,745210
Ronaldo Souza,724232
Jan Blachowicz,709258
Weili Zhang,701651
Stephen Thompson,692703
CM Punk,683171
Charles Oliveira,681821
Colby Covington,678859
Rafael dos Anjos,593583
Thiago Santos,532726
Polyana Viana,526742
Marlon Vera,512195
Kelvin Gastelum,504265
Gilbert Burns,475872
Paddy Pimblett,468082
Carlos Condit,445166
Alexa Grasso,427396
Shayna Baszler,423946
Cub Swanson,369224
Alexander Volkanovski,357206
Kevin Holland,351770
Michelle Nicolini,343083
Yair Rodríguez,342320
Jessica Andrade,339647
Marvin Vettori,339009
Rory MacDonald,335922
Rodolfo Vieira,328052
Aljamain Sterling,326221
Kevin Lee,322138
Uriah Hall,315562
Dan Hooker,310640
Dominick Reyes,308826
Alexander Volkov,297750
Jiri Prochazka,281061
Deiveson Figueiredo,275847
Maycee Barber,273471
