fighter,salary,year,Unnamed: 0,first_name,last_name,height,weight,stance,wins,losses,draws,number_of_fights,full_name,gender,current_or_former_champ
Abner Llovenas,"$12,500 ",2015,,,,,,,,,,,,,
Akhbar Arreola,"$24,500 ",2015,,,,,,,,,,,,,
Alan Badout,"$13,500 ",2020,,,,,,,,,,,,,
Alan Belcher,"$38,000 ",2011,,,,,,,,,,,,,
Aleksandar Racic,"$12,500 ",2017,,,,,,,,,,,,,
Alessandro Ricci,"$12,500 ",2016,,,,,,,,,,,,,
Alessandro Ricci,"$12,500 ",2017,,,,,,,,,,,,,
Alex da Silva,"$37,000 ",2019,,,,,,,,,,,,,
Alex da Silva,"$15,500 ",2020,,,,,,,,,,,,,
Alex Munoz,"$13,500 ",2020,,,,,,,,,,,,,
Alex Volkanovski,"$22,500 ",2016,,,,,,,,,,,,,
Alexander Gustafsson,"$18,000 ",2010,,,,,,,,,,,,,
Alexander Torres,"$8,000 ",2015,,,,,,,,,,,,,
Alexey Kunchenko,"$55,000 ",2018,,,,,,,,,,,,,
Alexey Kunchenko,"$17,500 ",2019,,,,,,,,,,,,,
Alexey Kunchenko,"$18,000 ",2020,,,,,,,,,,,,,
Alvaro Herrera,"$22,500 ",2015,,,,,,,,,,,,,
Alvaro Herrera,"$14,500 ",2016,,,,,,,,,,,,,
Alvaro Herrera,"$14,500 ",2017,,,,,,,,,,,,,
Alvaro Herrera,"$16,000 ",2018,,,,,,,,,,,,,
Anderson dos Santos,"$13,500 ",2018,,,,,,,,,,,,,
Anderson dos Santos,"$13,500 ",2019,,,,,,,,,,,,,
Anderson dos Santos,"$23,500 ",2020,,,,,,,,,,,,,
Andrea Stahl,"$8,000 ",2014,,,,,,,,,,,,,
Anthony ‘Rumble’ Johnson,"$262,000 ",2014,,,,,,,,,,,,,
Anthony ‘Rumble’ Johnson,"$951,000 ",2015,,,,,,,,,,,,,
Anthony ‘Rumble’ Johnson,"$655,000 ",2016,,,,,,,,,,,,,
Anthony ‘Rumble’ Johnson,"$530,000 ",2017,,,,,,,,,,,,,
Antonio ‘Bigfoot’ Silva,"$75,000 ",2014,,,,,,,,,,,,,
Antonio ‘Bigfoot’ Silva,"$235,000 ",2015,,,,,,,,,,,,,
Antonio ‘Bigfoot’ Silva,"$170,000 ",2016,,,,,,,,,,,,,
Antonio Carlos Jr,"$31,000 ",2014,,,,,,,,,,,,,
Antonio dos Santos Jr.,"$8,000 ",2014,,,,,,,,,,,,,
Antonio dos Santos Jr.,"$10,000 ",2015,,,,,,,,,,,,,
Antonio Rogerio Nogueira,"$275,000 ",2010,,,,,,,,,,,,,
Antonio Rogerio Nogueira,"$230,000 ",2011,,,,,,,,,,,,,
Antonio Rogerio Nogueira,"$114,000 ",2014,,,,,,,,,,,,,
Antonio Rogerio Nogueira,"$169,000 ",2015,,,,,,,,,,,,,
Antonio Rogerio Nogueira,"$324,000 ",2016,,,,,,,,,,,,,
Antonio Rogerio Nogueira,"$257,000 ",2018,,,,,,,,,,,,,
Antonio Rogerio Nogueira,"$138,000 ",2019,,,,,,,,,,,,,
Antonio Rogerio Nogueira,"$138,000 ",2020,,,,,,,,,,,,,
Arjun Bhullar,"$22,500 ",2017,,,,,,,,,,,,,
Ashlee-Evans Smith,"$33,000 ",2018,,,,,,,,,,,,,
B.J. Penn,"$680,000 ",2010,,,,,,,,,,,,,
B.J. Penn,"$375,000 ",2011,,,,,,,,,,,,,
B.J. Penn,"$150,000 ",2012,,,,,,,,,,,,,
B.J. Penn,"$150,000 ",2013,,,,,,,,,,,,,
B.J. Penn,"$150,000 ",2014,,,,,,,,,,,,,
B.J. Penn,"$340,000 ",2017,,,,,,,,,,,,,
B.J. Penn,"$170,000 ",2018,,,,,,,,,,,,,
B.J. Penn,"$170,000 ",2019,,,,,,,,,,,,,
Bartosz Fabinksi,"$51,500 ",2018,,,,,,,,,,,,,
Bartosz Fabinksi,"$58,000 ",2020,,,,,,,,,,,,,
Batgerel Danaa,"$63,500 ",2019,,,,,,,,,,,,,
Ben Henderson,"$193,000 ",2011,,,,,,,,,,,,,
Bernardo Malgalhaes,"$12,000 ",2012,,,,,,,,,,,,,
Bernardo Malgalhaes,"$12,000 ",2013,,,,,,,,,,,,,
Bradley Scott,"$14,500 ",2016,,,,,,,,,,,,,
Brendan O’Reilly,"$16,000 ",2015,,,,,,,,,,,,,
Brendan O’Reilly,"$29,000 ",2016,,,,,,,,,,,,,
C.B. Dollaway,"$128,000 ",2010,,,,,,,,,,,,,
C.B. Dollaway,"$40,000 ",2012,,,,,,,,,,,,,
C.B. Dollaway,"$40,000 ",2013,,,,,,,,,,,,,
C.B. Dollaway,"$190,000 ",2014,,,,,,,,,,,,,
C.B. Dollaway,"$95,000 ",2015,,,,,,,,,,,,,
C.B. Dollaway,"$43,000 ",2016,,,,,,,,,,,,,
C.B. Dollaway,"$101,000 ",2017,,,,,,,,,,,,,
C.B. Dolloway,"$40,000 ",2011,,,,,,,,,,,,,
C.B. Dolloway,"$176,000 ",2018,,,,,,,,,,,,,
C.J. Keith,"$4,800 ",2012,,,,,,,,,,,,,
C.J. Keith,"$4,800 ",2013,,,,,,,,,,,,,
Caio Malgalhaes,"$8,000 ",2012,,,,,,,,,,,,,
Caio Malgalhaes,"$8,000 ",2013,,,,,,,,,,,,,
Callan Porter,"$37,000 ",2019,,,,,,,,,,,,,
Carlos Diego Ferreira,"$151,000 ",2014,,,,,,,,,,,,,
Carlos Diego Ferreira,"$15,000 ",2015,,,,,,,,,,,,,
Carlos Diego Ferreira,"$32,500 ",2016,,,,,,,,,,,,,
Carlos Diego Ferreira,"$80,500 ",2018,,,,,,,,,,,,,
Carlos Diego Ferreira,"$93,800 ",2019,,,,,,,,,,,,,
Carlos Diego Ferreira,"$155,000 ",2020,,,,,,,,,,,,,
Carlos Hauchin,"$27,000 ",2019,,,,,,,,,,,,,
Carls John de Tomas,"$9,500 ",2017,,,,,,,,,,,,,
Cezar ‘Mutante’ Ferreira,"$100,000 ",2014,,,,,,,,,,,,,
Cezar ‘Mutante’ Ferreira,"$45,000 ",2015,,,,,,,,,,,,,
Chan-Sung Jung,"$114,000 ",2012,,,,,,,,,,,,,
Chan-Sung Jung,"$114,000 ",2013,,,,,,,,,,,,,
Charles Olveira,"$208,000 ",2017,,,,,,,,,,,,,
Chico Camos,"$12,000 ",2012,,,,,,,,,,,,,
Chico Camos,"$12,000 ",2013,,,,,,,,,,,,,
Chris De La Rocha,"$12,500 ",2015,,,,,,,,,,,,,
Chris De La Rocha,"$12,500 ",2016,,,,,,,,,,,,,
Chris De La Rocha,"$37,000 ",2018,,,,,,,,,,,,,
Chris Tuchscherer,"$12,000 ",2011,,,,,,,,,,,,,
Christo Giagos,"$44,000 ",2018,,,,,,,,,,,,,
Chuck O'Neil,"$8,000 ",2011,,,,,,,,,,,,,
Claudia Puelles,"$90,000 ",2018,,,,,,,,,,,,,
Claudia Silva,"$71,000 ",2019,,,,,,,,,,,,,
Cody Stamman,"$49,000 ",2017,,,,,,,,,,,,,
Cody Stamman,"$69,500 ",2018,,,,,,,,,,,,,
Cody Stamman,"$121,000 ",2020,,,,,,,,,,,,,
Costas Philippou,"$33,000 ",2011,,,,,,,,,,,,,
Costas Philippou,"$106,000 ",2012,,,,,,,,,,,,,
Costas Philippou,"$106,000 ",2013,,,,,,,,,,,,,
Costas Philippou,"$69,000 ",2014,,,,,,,,,,,,,
