,fighter,salary,year,Unnamed: 0,first_name,last_name,height,weight,stance,wins,losses,draws,number_of_fights,full_name,gender,current_or_former_champ
123,Matthew Riddle,"$52,000 ",2010,,,,,,,,,,,,,
145,Rich Antonito,"$40,000 ",2010,,,,,,,,,,,,,
181,Alesander Gustafsson,"$18,000 ",2010,,,,,,,,,,,,,
199,Eric Shaefer,"$13,000 ",2010,,,,,,,,,,,,,
218,Elliot Marshall,"$10,000 ",2010,,,,,,,,,,,,,
232,Justin Bucholz,"$8,000 ",2010,,,,,,,,,,,,,
237,Savo Chivitchian,"$8,000 ",2010,,,,,,,,,,,,,
242,Mustafa Al Turk,"$7,000 ",2010,,,,,,,,,,,,,
250,Jesse Bongfelt,"$6,000 ",2010,,,,,,,,,,,,,
259,Nicholas Pace,"$5,400 ",2010,,,,,,,,,,,,,
265,T.J. O’Brien,"$3,000 ",2010,,,,,,,,,,,,,
424,C.B. Dolloway,"$40,000 ",2011,,,,,,,,,,,,,
431,Allen Belcher,"$38,000 ",2011,,,,,,,,,,,,,
477,Dongyi Yang,"$24,000 ",2011,,,,,,,,,,,,,
482,Yusin Okami,"$23,000 ",2011,,,,,,,,,,,,,
508,Steven Silver,"$16,000 ",2011,,,,,,,,,,,,,
517,Chris Tuchsherer,"$12,000 ",2011,,,,,,,,,,,,,
524,Iuri Alcanatra,"$12,000 ",2011,,,,,,,,,,,,,
530,Stanislov Nedkov,"$12,000 ",2011,,,,,,,,,,,,,
533,Zhang Tie Quan,"$12,000 ",2011,,,,,,,,,,,,,
538,Jason Reinhart,"$10,000 ",2011,,,,,,,,,,,,,
552,Chuck O’Neil,"$8,000 ",2011,,,,,,,,,,,,,
582,Jesse Bongfelt,"$6,000 ",2011,,,,,,,,,,,,,
583,Johny Eduardo,"$6,000 ",2011,,,,,,,,,,,,,
588,T.J. O’Brien,"$6,000 ",2011,,,,,,,,,,,,,
624,Benson Henderson,"$299,000 ",2012,,,,,,,,,,,,,
646,Quinton Jackson,"$200,000 ",2012,,,,,,,,,,,,,
686,Chan-Sung Jung,"$114,000 ",2012,,,,,,,,,,,,,
717,Louis Gaudenot,"$82,200 ",2012,,,,,,,,,,,,,
908,Dongi Yang,"$12,000 ",2012,,,,,,,,,,,,,
950,Godofrodo ‘Pepey’ Castro,"$8,000 ",2012,,,,,,,,,,,,,
1006,Benson Henderson,"$299,000 ",2013,,,,,,,,,,,,,
1028,Quinton Jackson,"$200,000 ",2013,,,,,,,,,,,,,
1068,Chan-Sung Jung,"$114,000 ",2013,,,,,,,,,,,,,
1099,Louis Gaudenot,"$82,200 ",2013,,,,,,,,,,,,,
1290,Dongi Yang,"$12,000 ",2013,,,,,,,,,,,,,
1332,Godofrodo ‘Pepey’ Castro,"$8,000 ",2013,,,,,,,,,,,,,
1380,Mauricio ‘Shogun’ Rua,"$410,000 ",2014,,,,,,,,,,,,,
1391,Ronaldo “Jacare’ Souza,"$340,000 ",2014,,,,,,,,,,,,,
1400,Benson Henderson,"$278,000 ",2014,,,,,,,,,,,,,
1403,Anthony ‘Rumble’ Johnson,"$262,000 ",2014,,,,,,,,,,,,,
1452,Godofredo ‘Pepey’ Castro,"$144,000 ",2014,,,,,,,,,,,,,
1494,Cezar ‘Mutante’ Ferreira,"$100,000 ",2014,,,,,,,,,,,,,
1532,Antonio ‘Bigfoot’ Silva,"$75,000 ",2014,,,,,,,,,,,,,
1553,Edimilson ‘Kevin’ Souza,"$66,000 ",2014,,,,,,,,,,,,,
1563,Sean O’Connell,"$66,000 ",2014,,,,,,,,,,,,,
1602,Jussier ‘Formiga’ da Silva,"$48,000 ",2014,,,,,,,,,,,,,
1663,Rafael ‘Feijao’ Cavalcante,"$35,000 ",2014,,,,,,,,,,,,,
1685,James Te Huna,"$30,000 ",2014,,,,,,,,,,,,,
1796,Marcelo Guimarães,"$16,000 ",2014,,,,,,,,,,,,,
1819,Tiago Trator,"$16,000 ",2014,,,,,,,,,,,,,
1821,Valérie Létourneau,"$16,000 ",2014,,,,,,,,,,,,,
1835,William ‘Patalino’ Macario,"$12,000 ",2014,,,,,,,,,,,,,
1838,Dylan Andrewss,"$10,000 ",2014,,,,,,,,,,,,,
1936,Anthony ‘Rumble’ Johnson,"$951,000 ",2015,,,,,,,,,,,,,
1967,Ronaldo ‘Jacare’ Souza,"$315,000 ",2015,,,,,,,,,,,,,
1968,Benson Henderson,"$311,000 ",2015,,,,,,,,,,,,,
1969,Mauricio ‘Shogun’ Rua,"$310,000 ",2015,,,,,,,,,,,,,
1984,Quinton ‘Rampage’ Jackson,"$250,000 ",2015,,,,,,,,,,,,,
1987,Antonio ‘Bigfoot’ Silva,"$235,000 ",2015,,,,,,,,,,,,,
