fighter,salary,year
Michael Bisping,"$915,000 ",2010
Georges St-Pierre ,"$900,000 ",2010
Brock Lesnar,"$875,000 ",2010
Rashad Evans,"$785,000 ",2010
B.J. Penn ,"$680,000 ",2010
Matt Hughes,"$560,000 ",2010
Anderson Silva ,"$520,000 ",2010
Chuck Liddell,"$500,000 ",2010
James Toney,"$500,000 ",2010
Rampage Jackson,"$500,000 ",2010
Randy Couture,"$500,000 ",2010
Mirko Cro Cop,"$460,000 ",2010
Cain Velasquez ,"$410,000 ",2010
Lyoto Machida,"$400,000 ",2010
Frank Mir ,"$375,000 ",2010
Mauricio Rua,"$320,000 ",2010
Chris Leben,"$316,000 ",2010
Matt Serra,"$300,000 ",2010
Josh Koscheck ,"$287,000 ",2010
Antonio Rogerio Nogueira,"$275,000 ",2010
Junior dos Santos,"$260,000 ",2010
Carlos Condit,"$257,000 ",2010
Antonio Rodrigo Nogueira ,"$250,000 ",2010
Tito Ortiz,"$250,000 ",2010
Demian Maia ,"$244,000 ",2010
Joe Lauzon,"$242,000 ",2010
Nate Marquardt,"$240,000 ",2010
Jon Fitch ,"$228,000 ",2010
Kenny Florian ,"$225,000 ",2010
Rich Franklin,"$225,000 ",2010
Yoshihiro Akiyama,"$225,000 ",2010
Diego Sanchez,"$220,000 ",2010
Chael Sonnen,"$219,000 ",2010
Jim Miller,"$218,000 ",2010
Mark Munoz,"$213,000 ",2010
Mac Danzig,"$212,000 ",2010
Stephan Bonnar,"$212,000 ",2010
Chris Lytle ,"$206,000 ",2010
George Sotiropoulos ,"$202,000 ",2010
Wanderlei Silva,"$200,000 ",2010
Paulo Thiago,"$196,000 ",2010
Nate Diaz,"$192,000 ",2010
Sam Stout,"$187,000 ",2010
Shane Carwin,"$185,000 ",2010
Thiago Alves,"$180,000 ",2010
Kendall Grove ,"$178,000 ",2010
Dennis Siver ,"$175,000 ",2010
Ricardo Almeida,"$175,000 ",2010
Gerald Harris ,"$167,000 ",2010
Cheick Kongo,"$165,000 ",2010
Takanori Gomi,"$160,000 ",2010
Evan Dunham,"$157,000 ",2010
Clay Guida,"$156,000 ",2010
Jake Shields,"$150,000 ",2010
Sean Sherk,"$150,000 ",2010
Vladimir Matyushenko,"$149,000 ",2010
Frankie Edgar ,"$148,000 ",2010
Marcus Davis,"$145,000 ",2010
Joe Stevenson ,"$144,000 ",2010
Cole Miller,"$142,000 ",2010
Stefan Struve,"$141,000 ",2010
Kurt Pellegrino ,"$140,000 ",2010
Jon Jones,"$136,000 ",2010
Phil Davis,"$136,000 ",2010
Keith Jardine ,"$135,000 ",2010
Matt Hamill,"$135,000 ",2010
Gabriel Gonzaga,"$134,000 ",2010
C.B. Dollaway,"$128,000 ",2010
Yushin Okami,"$128,000 ",2010
Krzysztof Soszynski ,"$125,000 ",2010
Jared Hamman,"$123,000 ",2010
Martin Kampmann,"$123,000 ",2010
Rafael dos Anjos,"$123,000 ",2010
Charles Oliveira,"$118,000 ",2010
Jeremy Stephens ,"$111,000 ",2010
John Howard,"$106,000 ",2010
DaMarques Johnson ,"$105,000 ",2010
Rory MacDonald,"$105,000 ",2010
Daniel Roberts,"$104,000 ",2010
Melvin Guillard,"$104,000 ",2010
Alan Belcher ,"$103,000 ",2010
Paul Daley,"$102,200 ",2010
Matt Mitrione,"$102,000 ",2010
Ben Rothwell,"$100,000 ",2010
Joey Beltran ,"$100,000 ",2010
Dan Miller,"$98,000 ",2010
Mike Pyle,"$97,000 ",2010
Ryan Jensen,"$97,000 ",2010
Mark Bocek,"$95,000 ",2010
Jason Brilz,"$94,000 ",2010
Brian Stann,"$91,000 ",2010
Gilbert Yvel,"$90,000 ",2010
Mike Russow,"$89,000 ",2010
Tyson Griffin,"$88,000 ",2010
Gray Maynard,"$86,000 ",2010
Amir Sadollah,"$85,000 ",2010
Karlos Vemola,"$84,000 ",2010
Johny Hendricks,"$82,000 ",2010
Aaron Simpson,"$78,000 ",2010
Spencer Fisher,"$78,000 ",2010
Rodney Wallace,"$77,000 ",2010
Pascal Krauss,"$76,000 ",2010
